pos_x,pos_y,rotation,side,designator,mpn,pack,value,mount_type,place
74.2,-14.8,90.0,top,R9,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,0R,smt,True
36.6,-13.85,0.0,top,S1,,CJS-1200TA,CJS-1200TA,smt,True
36.7575,-8.28,0.0,top,S2,,SW_TL1015AF160QG,TL1015AF160QG,smt,True
52.8,-32.59,90.0,top,SW1,,SW_DIP_SPSTx03_Slide_KingTek_DSHP03TJ_W5.25mm_P1.27mm_JPin,SW_DIP_x03,smt,True
56.8,-14.8,0.0,top,TP1,,TestPoint_Pad_D1.5mm,TestPoint,tht,False
45.4,-10.2,0.0,top,TP2,,TestPoint_Pad_D1.5mm,TestPoint,tht,False
57.0,-2.8,0.0,top,TP4,,TestPoint_Pad_D1.5mm,TestPoint,tht,False
77.6,-15.2,0.0,top,TP6,,TestPoint_Pad_D1.5mm,TestPoint,tht,False
1.4,-19.7,0.0,top,TP7,,TestPoint_Pad_D1.5mm,TestPoint,tht,False
80.2,-5.6,0.0,top,TP8,,TestPoint_Pad_D1.5mm,TestPoint,tht,False
1.2,-16.9,0.0,top,TP9,,TestPoint_Pad_D1.5mm,TestPoint,tht,False
51.8,-2.2,90.0,top,U1,,SOT-223-3_TabPin2,AZ1117-3.3,smt,True
62.2,-2.2,90.0,top,U2,,SOT-223-3_TabPin2,AZ1117-1.8,smt,True
72.4,-2.2,90.0,top,U3,,SOT-223-3_TabPin2,MCP1826S,smt,True
67.74,-45.21,90.0,top,U4,,SOIC-8_5.23x5.23mm_P1.27mm,W25Q32JVSS,smt,True
50.6,-48.44,90.0,top,U5,,DIP-8_W7.62mm_Socket_LongPads,W25Q32JVSS,tht,False
2.3,-5.7,-90.0,top,U6,,SOT-353_SC-70-5,MIC5365-2.8YC5,smt,True
20.75858,-15.566117,45.0,top,Y1,,Crystal_SMD_2016-4Pin_2.0x1.6mm,24 MHz,smt,True
